trump,"['DirtyIllegitimateTrumpPresidencyEra', 'AmericaKilling', 'technology', 'TrumpRussiaCollusion']"
maga,"['SecretaryOfState', 'RenewUS', 'alwx', 'spiritcooking']"
BuildTheWall,[]
resist,"['fightlikeagirl', 'sunset', 'HDTalk', 'firethefool']"
DirtyIllegitimateTrumpPresidencyEra,[]
AmericaKilling,[]
technology,"['FishGloomis', 'legalit', 'Diamond', 'Banking']"
TrumpRussiaCollusion,"['GOP', 'FreedomOfThePress', 'trumprussia', 'PutinsPuppet']"
SecretaryOfState,[]
RenewUS,[]
alwx,[]
spiritcooking,[]
fightlikeagirl,[]
sunset,"['picoftheday', 'lokki', 'lajolla', 'city']"
HDTalk,[]
firethefool,[]
FishGloomis,[]
legalit,[]
Diamond,"['makeup', 'April', 'birthstone']"
Banking,[]
GOP,[]
FreedomOfThePress,[]
trumprussia,[]
PutinsPuppet,[]
picoftheday,[]
lokki,[]
lajolla,[]
city,[]
